"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"SF_SKU";"SKU";"VALUE";
"C2";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"CAP-11015";"";"";"";"10uF";
"C3";"22pF";"22PF-0603-50V-5%";"0603";"22pF ceramic capacitors";"CAP-07876";"";"";"";"22pF";
"C4";"22pF";"22PF-0603-50V-5%";"0603";"22pF ceramic capacitors";"CAP-07876";"";"";"";"22pF";
"C5";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"";"";"";"1.0uF";
"C6";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"CAP-11015";"";"";"";"10uF";
"C7";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"";"";"";"1.0uF";
"C8";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"CAP-11015";"";"";"";"10uF";
"C9";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"CAP-00868";"";"";"";"1.0uF";
"CONN";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"DIO-00821";"";"";"";"GREEN";
"D1";"MBR120";"DIODE_SOD-123FL";"SOD-123FL";"Diode";"";"";"";"";"";
"D4";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"DIO-09003";"";"";"";"Yellow";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";
"IC1";"317EMP";"317EMP";"SOT223";"Positive VOLTAGE REGULATOR";"";"";"";"";"";
"J1";"";"CONN_02JST-PTH-2";"JST-2-PTH";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-09863";"";"";"PRT-09914";"";
"J2";"FINGER_SCAN";"QWIIC_CONNECTORJS-1MM";"1X04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"";"";"";"";
"J3";"USB_A_PTH_MALE";"USB_A_PTH_MALE";"USB-A-H";"USB-A Connector";"CONN-08367";"PRT-00437";"";"";"";
"J4";"ISCP";"AVR_SPI_PROG_3X2NS";"2X3-NS";"AVR ISP 6 Pin";"";"";"";"";"";
"JP1";"SCREEN";"HEADER-1X6ROUND";"1X06_ROUND";"PIN HEADER";"";"";"";"";"";
"MODE";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"DIO-00819";"";"";"";"RED";
"R6";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"";"";"10k";
"R7";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"";"";"10k";
"R8";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"";"";"10k";
"R9";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"";"";"10k";
"R10";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"";"";"10k";
"R11";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"";"";"10k";
"R12";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"RES-00818";"";"";"";"330";
"R13";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"RES-00818";"";"";"";"330";
"R14";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"RES-07856";"";"";"";"1k";
"R15";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"RES-00824";"";"";"";"10k";
"RST";"SPST";"MOMENTARY-SWITCH-SPST-SMD-4.5MM";"TACTILE_SWITCH_SMD_4.5MM";"Momentary Switch (Pushbutton) - SPST";"SWCH-09213";"";"";"";"";
"R_D+";"22";"22OHM-0603-1/10W-1%";"0603";"22Ω resistor";"RES-08698";"";"";"";"22";
"R_D-";"22";"22OHM-0603-1/10W-1%";"0603";"22Ω resistor";"RES-08698";"";"";"";"22";
"S1";"JOYSTICK";"JOYSTICK_MINI";"JOYSTICK_MINI";"Small Tactile Joystick w/ Select Switch";"SWCH-09905";"";"COM-10063";"";"";
"U$1";"32U4";"ATMEGA32U4-AU";"TQFP44";"http://www.ladyada.net/library/eagle";"";"";"";"";"";
"U$3";"FRAM";"FRAM";"SOIC8";"";"";"";"";"";"";
"U2";"MCP73831";"MCP73831";"SOT23-5";"MCP73831T Li-Ion, Li-Pol Controller";"IC-09995";"";"";"";"";
"U3";"nRF51";"NRF51822_MODULE_MDBT40";"BLE_MODULE_RAYTAC_MDBT40";"nRF51822 Bluetooth Low Energy Module";"";"";"";"";"";
"Y2";"16MHz";"CRYSTAL-16MHZSMD-5X3.2";"CRYSTAL-SMD-5X3.2-4PAD";"16MHz Crystal";"XTAL-08218";"COM-00094";"";"";"16MHz";
